,co_fracc,latitud,longitud,barrio,comuna,fecha,n_personas
3427,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-04-29,2
3428,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-04-30,2
3429,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-05-08,1
3430,6_20,-34.6218236601112,-58.433449025052795,Caballito,6,2020-05-19,2
3431,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-24,1
3432,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-25,7
3433,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-26,3
3434,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-21,2
3435,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-29,1
3436,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-04-04,1
3437,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-03-19,1
3438,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-04-09,1
3439,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-04-11,2
3440,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-04-20,2
3441,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-05-01,1
3442,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-05-08,2
3443,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-05-09,2
3444,6_21,-34.6250100445533,-58.43134678002029,Caballito,6,2020-05-14,1
3445,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-03-21,2
3446,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-03-22,3
3447,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-03-23,1
3448,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-03-30,1
3449,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-10,1
3450,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-15,1
3451,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-16,1
3452,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-19,1
3453,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-25,2
3454,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-04-28,1
3455,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-05-01,1
3456,6_3,-34.6090080848855,-58.451027542730706,Caballito,6,2020-05-09,1
3457,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-03-23,5
3458,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-03-25,2
3459,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-03-21,1
3460,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-03-28,1
3461,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-03-30,2
3462,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-04-08,2
3463,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-04-17,2
3464,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-04-19,1
3465,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-04-25,2
3466,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-04-28,1
3467,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-05-02,1
3468,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-05-09,2
3469,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-05-07,2
3470,6_4,-34.612953576307696,-58.4456255010139,Caballito,6,2020-05-15,2
3471,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-23,7
3472,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-24,2
3473,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-25,4
3474,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-26,2
3475,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-27,5
3476,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-21,2
3477,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-28,1
3478,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-03-19,2
3479,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-04-10,1
3480,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-04-12,2
3481,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-04-14,1
3482,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-05-02,2
3483,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-05-10,1
3484,6_5,-34.6086079001141,-58.441470071276996,Caballito,6,2020-05-12,1
